sensor,scenario,model,dog_id,accuracy
Back,A+G,Tree,54,0.93
Back,A+G,Tree,55,0.83
Back,A+G,Tree,56,0.994
Back,A+G,Tree,57,0.911
Back,A+G,Tree,58,0.953
Back,A+G,Tree,59,0.934
Back,A+G,Tree,60,0.971
Back,A+G,Tree,61,0.869
Back,A+G,Tree,63,0.843
Back,A+G,Tree,65,0.994
Back,A+G,Tree,66,0.762
Back,A+G,Tree,67,0.875
Back,A+G,Tree,68,0.948
Back,A+G,Tree,70,0.793
Back,A+G,Tree,72,0.968
Back,A+G,Tree,73,0.992
Back,A+G,Tree,74,0.957
Back,A only,LDA,16,0.923
Back,A only,LDA,18,0.88
Back,A only,LDA,19,0.772
Back,A only,LDA,20,0.886
Back,A only,LDA,21,0.888
Back,A only,LDA,22,0.887
Back,A only,LDA,23,0.96
Back,A only,LDA,25,0.966
Back,A only,LDA,26,0.962
Back,A only,LDA,27,0.946
Back,A only,LDA,28,0.943
Back,A only,LDA,29,0.843
Back,A only,LDA,30,0.771
Back,A only,LDA,33,0.812
Back,A only,LDA,34,0.89
Back,A only,LDA,36,0.969
Back,A only,LDA,39,0.823
Back,A only,LDA,41,0.972
Back,A only,LDA,43,0.979
Back,A only,LDA,44,0.822
Back,A only,LDA,45,0.905
Back,A only,LDA,46,0.884
Back,A only,LDA,47,0.836
Back,A only,LDA,48,0.946
Back,A only,LDA,49,0.778
Back,A only,LDA,51,0.576
Back,A only,LDA,52,0.794
Back,A only,LDA,53,0.88
Back,A only,LDA,54,0.951
Back,A only,LDA,55,0.821
Back,A only,LDA,56,0.977
Back,A only,LDA,57,0.853
Back,A only,LDA,58,0.964
Back,A only,LDA,59,0.963
Back,A only,LDA,60,0.98
Back,A only,LDA,61,0.788
Back,A only,LDA,63,0.928
Back,A only,LDA,65,0.998
Back,A only,LDA,66,0.737
Back,A only,LDA,67,0.893
Back,A only,LDA,68,0.822
Back,A only,LDA,70,0.811
Back,A only,LDA,72,0.982
Back,A only,LDA,73,0.993
Back,A only,LDA,74,0.918
Back,A only,QDA,16,0.96
Back,A only,QDA,18,0.983
Back,A only,QDA,19,0.787
Back,A only,QDA,20,0.894
Back,A only,QDA,21,0.911
Back,A only,QDA,22,0.944
Back,A only,QDA,23,0.972
Back,A only,QDA,25,0.963
Back,A only,QDA,26,0.979
Back,A only,QDA,27,0.945
Back,A only,QDA,28,0.959
Back,A only,QDA,29,0.916
Back,A only,QDA,30,0.773
Back,A only,QDA,33,0.826
Back,A only,QDA,34,0.896
Back,A only,QDA,36,0.957
Back,A only,QDA,39,0.752
Back,A only,QDA,41,0.958
Back,A only,QDA,43,0.979
Back,A only,QDA,44,0.805
Back,A only,QDA,45,0.86
Back,A only,QDA,46,0.942
Back,A only,QDA,47,0.907
Back,A only,QDA,48,0.956
Back,A only,QDA,49,0.824
Back,A only,QDA,51,0.72
Back,A only,QDA,52,0.782
Back,A only,QDA,53,0.966
Back,A only,QDA,54,0.946
Back,A only,QDA,55,0.859
Back,A only,QDA,56,0.994
Back,A only,QDA,57,0.884
Back,A only,QDA,58,0.953
Back,A only,QDA,59,0.95
Back,A only,QDA,60,0.964
Back,A only,QDA,61,0.865
Back,A only,QDA,63,0.898
Back,A only,QDA,65,0.991
Back,A only,QDA,66,0.731
Back,A only,QDA,67,0.865
Back,A only,QDA,68,0.954
Back,A only,QDA,70,0.778
Back,A only,QDA,72,0.969
Back,A only,QDA,73,0.992
Back,A only,QDA,74,0.963
Back,A only,SVM,16,0.97
Back,A only,SVM,18,0.903
Back,A only,SVM,19,0.842
Back,A only,SVM,20,0.927
Back,A only,SVM,21,0.911
Back,A only,SVM,22,0.919
Back,A only,SVM,23,0.944
Back,A only,SVM,25,0.973
Back,A only,SVM,26,0.987
Back,A only,SVM,27,0.977
Back,A only,SVM,28,0.966
Back,A only,SVM,29,0.917
Back,A only,SVM,30,0.806
Back,A only,SVM,33,0.851
Back,A only,SVM,34,0.977
Back,A only,SVM,36,0.958
Back,A only,SVM,39,0.804
Back,A only,SVM,41,0.957
Back,A only,SVM,43,0.98
Back,A only,SVM,44,0.966
Back,A only,SVM,45,0.898
Back,A only,SVM,46,0.965
Back,A only,SVM,47,0.929
Back,A only,SVM,48,0.954
Back,A only,SVM,49,0.855
Back,A only,SVM,51,0.744
Back,A only,SVM,52,0.791
Back,A only,SVM,53,0.979
Back,A only,SVM,54,0.963
Back,A only,SVM,55,0.862
Back,A only,SVM,56,0.996
Back,A only,SVM,57,0.902
Back,A only,SVM,58,0.954
Back,A only,SVM,59,0.957
Back,A only,SVM,60,0.969
Back,A only,SVM,61,0.97
Back,A only,SVM,63,0.909
Back,A only,SVM,65,0.993
Back,A only,SVM,66,0.737
Back,A only,SVM,67,0.909
Back,A only,SVM,68,0.953
Back,A only,SVM,70,0.818
Back,A only,SVM,72,0.994
Back,A only,SVM,73,0.994
Back,A only,SVM,74,0.971
Back,A only,Tree,16,0.923
Back,A only,Tree,18,0.978
Back,A only,Tree,19,0.83
Back,A only,Tree,20,0.912
Back,A only,Tree,21,0.905
Back,A only,Tree,22,0.921
Back,A only,Tree,23,0.921
Back,A only,Tree,25,0.96
Back,A only,Tree,26,0.977
Back,A only,Tree,27,0.982
Back,A only,Tree,28,0.959
Back,A only,Tree,29,0.956
Back,A only,Tree,30,0.736
Back,A only,Tree,33,0.853
Back,A only,Tree,34,0.961
Back,A only,Tree,36,0.96
Back,A only,Tree,39,0.734
Back,A only,Tree,41,0.925
Back,A only,Tree,43,0.976
Back,A only,Tree,44,0.954
Back,A only,Tree,45,0.907
Back,A only,Tree,46,0.899
Back,A only,Tree,47,0.892
Back,A only,Tree,48,0.926
Back,A only,Tree,49,0.801
Back,A only,Tree,51,0.71
Back,A only,Tree,52,0.746
Back,A only,Tree,53,0.867
Back,A only,Tree,54,0.951
Back,A only,Tree,55,0.854
Back,A only,Tree,56,0.993
Back,A only,Tree,57,0.884
Back,A only,Tree,58,0.956
Back,A only,Tree,59,0.923
Back,A only,Tree,60,0.934
Back,A only,Tree,61,0.912
Back,A only,Tree,63,0.861
Back,A only,Tree,65,0.991
Back,A only,Tree,66,0.698
Back,A only,Tree,67,0.863
Back,A only,Tree,68,0.921
Back,A only,Tree,70,0.796
Back,A only,Tree,72,0.942
Back,A only,Tree,73,0.951
Back,A only,Tree,74,0.963
Neck,A+G,LDA,16,0.768
Neck,A+G,LDA,18,0.663
Neck,A+G,LDA,19,0.69
Neck,A+G,LDA,20,0.626
Neck,A+G,LDA,21,0.74
Neck,A+G,LDA,22,0.608
Neck,A+G,LDA,23,0.637
Neck,A+G,LDA,25,0.654
Neck,A+G,LDA,26,0.74
Neck,A+G,LDA,27,0.696
Neck,A+G,LDA,28,0.613
Neck,A+G,LDA,29,0.73
Neck,A+G,LDA,30,0.926
Neck,A+G,LDA,33,0.737
Neck,A+G,LDA,34,0.79
Neck,A+G,LDA,36,0.679
Neck,A+G,LDA,39,0.724
Neck,A+G,LDA,41,0.604
Neck,A+G,LDA,43,0.812
Neck,A+G,LDA,44,0.698
Neck,A+G,LDA,45,0.872
Neck,A+G,LDA,46,0.629
Neck,A+G,LDA,47,0.741
Neck,A+G,LDA,48,0.768
Neck,A+G,LDA,49,0.849
Neck,A+G,LDA,51,0.665
Neck,A+G,LDA,52,0.613
Neck,A+G,LDA,53,0.594
Neck,A+G,LDA,54,0.793
Neck,A+G,LDA,55,0.751
Neck,A+G,LDA,56,0.667
Neck,A+G,LDA,57,0.694
Neck,A+G,LDA,58,0.834
Neck,A+G,LDA,59,0.824
Neck,A+G,LDA,60,0.499
Neck,A+G,LDA,61,0.731
Neck,A+G,LDA,63,0.604
Neck,A+G,LDA,65,0.582
Neck,A+G,LDA,66,0.64
Neck,A+G,LDA,67,0.781
Neck,A+G,LDA,68,0.72
Neck,A+G,LDA,70,0.713
Neck,A+G,LDA,72,0.631
Neck,A+G,LDA,73,0.822
Neck,A+G,LDA,74,0.671
Neck,A+G,QDA,16,0.799
Neck,A+G,QDA,18,0.712
Neck,A+G,QDA,19,0.638
Neck,A+G,QDA,20,0.746
Neck,A+G,QDA,21,0.714
Neck,A+G,QDA,22,0.665
Neck,A+G,QDA,23,0.661
