sensor,scenario,model,num_features,selected_features,accuracy,f1_macro
Back,A+G,NN,54,ATotAct;AMeanX;AMeanY;AMeanZ;AOffset;ANMeanCros;AX1;AX2;AX3;AX4;AX5;AX6;AX7;AY1;AY2;AY3;AY4;AY5;AY6;AY7;AZ1;AZ2;AZ3;AZ4;AZ5;AZ6;AZ7;GTotAct;GMeanX;GMeanY;GMeanZ;GOffset;GNMeanCros;GX1;GX2;GX3;GX4;GX5;GX6;GX7;GY1;GY2;GY3;GY4;GY5;GY6;GY7;GZ1;GZ2;GZ3;GZ4;GZ5;GZ6;GZ7,0.9318352471475926,0.937011991534112
Back,A only,NN,27,ATotAct;AMeanX;AMeanY;AMeanZ;AOffset;ANMeanCros;AX1;AX2;AX3;AX4;AX5;AX6;AX7;AY1;AY2;AY3;AY4;AY5;AY6;AY7;AZ1;AZ2;AZ3;AZ4;AZ5;AZ6;AZ7,0.9218541105800048,0.929362083750975
Neck,A+G,NN,54,ATotAct;AMeanX;AMeanY;AMeanZ;AOffset;ANMeanCros;AX1;AX2;AX3;AX4;AX5;AX6;AX7;AY1;AY2;AY3;AY4;AY5;AY6;AY7;AZ1;AZ2;AZ3;AZ4;AZ5;AZ6;AZ7;GTotAct;GMeanX;GMeanY;GMeanZ;GOffset;GNMeanCros;GX1;GX2;GX3;GX4;GX5;GX6;GX7;GY1;GY2;GY3;GY4;GY5;GY6;GY7;GZ1;GZ2;GZ3;GZ4;GZ5;GZ6;GZ7,0.7635111623903449,0.810536787464538
Neck,A only,NN,27,ATotAct;AMeanX;AMeanY;AMeanZ;AOffset;ANMeanCros;AX1;AX2;AX3;AX4;AX5;AX6;AX7;AY1;AY2;AY3;AY4;AY5;AY6;AY7;AZ1;AZ2;AZ3;AZ4;AZ5;AZ6;AZ7,0.7492079189788107,0.7970113446670822
